"","ConfirmedSppNames","Species","Category","Use","Group","Location","Authors","Title","Journal","Volume","Pages","GBIFrecswithconfirmendnames"
"481","Hoslundia opposita","Hoslundia opposita","Health care","treating dermatitis","Medicine: Infectious diseases","Eastern Region","Pesewu, G. A., Cutler, R. R., & Humber, D. P. (2008)","Antibacterial activity of plants used in traditional medicines of Ghana with particular reference to MRSA.","Journal of ethnopharmacology","116(1)","102-111",93
"482","Hygrophila schulli","Hygrophila auriculata","Health care","treating tuberculosis","Medicine: Infectious diseases","Greater Accra and Eastern Regions","Nguta, J. M., Appiah-Opong, R., Nyarko, A. K., Yeboah-Manu, D., & Addo, P. G. (2015) ","Medicinal plants used to treat TB in Ghana","International journal of mycobacteriology","4(2)","116-123",59
"483","Mesosphaerum pectinatum","Hyptis pectinata","Health care","treating skin, brain and breast cancer","Medicine: Cancer","Ashanti Region","Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana","Journal of ethnopharmacology","212","137-152",45
"484","Cantinoa americana","Hyptis spicigera","Health care","treating malaria","Medicine: Malaria","Upper West Region","Asase, A., & Oteng-Yeboah, A. A. (2012)","Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana","Ethnobotany Research and Applications","10","605-618",50
"485","Cantinoa americana","Hyptis spicigera","Health care","treating malaria","Medicine: Malaria","Upper West Region","Asase, A., Oteng-Yeboah, A. A., Odamtten, G. T., & Simmonds, M. S. (2005)","Ethnobotanical study of some Ghanaian anti-malarial plants","Journal of Ethnopharmacology","99(2)","273-279",50
"486","Indigofera pulchra","Indigofera pulchra","Health care","treating malaria","Medicine: Malaria","Upper West Region","Asase, A., & Oteng-Yeboah, A. A. (2012)","Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana","Ethnobotany Research and Applications","10","605-618",40
"487","Indigofera pulchra","Indigofera pulchra","Health care","treating malaria","Medicine: Malaria","Upper West Region","Asase, A., Oteng-Yeboah, A. A., Odamtten, G. T., & Simmonds, M. S. (2005)","Ethnobotanical study of some Ghanaian anti-malarial plants","Journal of Ethnopharmacology","99(2)","273-279",40
"488","Ipomoea eriocarpa","Ipomoea eriocarpa","Health care","treating menstrual pains","Medicine: Menstrual disorders","Upper West Region","Wodah, D., & Asase, A. (2012)","Ethnopharmacological use of plants by Sisala traditional healers in northwest Ghana","Pharmaceutical biology","50(7)","807-815",32
"489","Isoberlinia doka","Isoberlinia doka","Health care","treating boils","Medicine: Infectious diseases","Upper West Region","Wodah, D., & Asase, A. (2012)","Ethnopharmacological use of plants by Sisala traditional healers in northwest Ghana","Pharmaceutical biology","50(7)","807-815",89
"490","Jatropha curcas","Jatropha curcas","Health care","treating cuts and wounds","Medicine: Wound healing","Upper West Region","Asase, A., & Oteng-Yeboah, A. A. (2012)","Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana","Ethnobotany Research and Applications","10","605-618",25
"491","Jatropha curcas","Jatropha curcas","Health care","treating sore gums","Medicine: Dental care","Upper West Region","Asase, A., & Oteng-Yeboah, A. A. (2012)","Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana","Ethnobotany Research and Applications","10","605-618",25
"492","Jatropha curcas","Jatropha curcas","Health care","treating malaria","Medicine: Malaria","Upper West Region","Asase, A., Oteng-Yeboah, A. A., Odamtten, G. T., & Simmonds, M. S. (2005)","Ethnobotanical study of some Ghanaian anti-malarial plants","Journal of Ethnopharmacology","99(2)","273-279",25
"493","Jatropha curcas","Jatropha curcas","Health care","treating hernia","Medicine: Edema","Greater Accra Region","Boadu, A. A., & Asase, A. (2017)","Documentation of herbal medicines used for the treatment and Management of Human Diseases by some communities in southern Ghana","Evidence-Based Complementary and Alternative Medicine","","2017",25
"494","Jatropha curcas","Jatropha curcas","Health care","treating wounds","Medicine: Wound healing","Brong-Ahafo Region","Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana","Journal of medicinal plants research","2(9)","226-233",25
"495","Jatropha curcas","Jatropha curcas","Health care","treating malaria","Medicine: Malaria","Ashanti Region","Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana","Journal of ethnopharmacology","172","333-346",25
"496","Jatropha curcas","Jatropha curcas","Health care","treating skin, breast, prostate, stomach and brain cancer","Medicine: Cancer","Ashanti Region","Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana","Journal of ethnopharmacology","212","137-152",25
"497","Jatropha gossypiifolia","Jatropha gossypiifolia","Health care","treating high fever","Medicine: Fever","Greater Accra Region","Boadu, A. A., & Asase, A. (2017)","Documentation of herbal medicines used for the treatment and Management of Human Diseases by some communities in southern Ghana","Evidence-Based Complementary and Alternative Medicine","","2017",52
"498","Jatropha gossypiifolia","Jatropha gossypiifolia","Health care","treating malaria","Medicine: Malaria","Upper West Region","Asase, A., & Oteng-Yeboah, A. A. (2012)","Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana","Ethnobotany Research and Applications","10","605-618",52
"499","Jatropha gossypiifolia","Jatropha gossypiifolia","Health care","treating malaria","Medicine: Malaria","Upper West Region","Asase, A., Oteng-Yeboah, A. A., Odamtten, G. T., & Simmonds, M. S. (2005)","Ethnobotanical study of some Ghanaian anti-malarial plants","Journal of Ethnopharmacology","99(2)","273-279",52
"500","Jatropha gossypiifolia","Jatropha gossypiifolia","Health care","treating stomach cancer","Medicine: Cancer","Ashanti Region","Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana","Journal of ethnopharmacology","212","137-152",52
"501","None","Justicia carnea","Health care","treating malaria","Medicine: Malaria","Ashanti Region","Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana","Journal of ethnopharmacology","172","333-346",NA
"502","Duvernoia extensa","Justicia extensa","Health care","treating stomach cancer","Medicine: Cancer","Ashanti Region","Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana","Journal of ethnopharmacology","212","137-152",65
"503","Justicia flava","Justicia flava","Health care","treating wounds","Medicine: Wound healing","Volta Region","Barku, V. Y., Opoku-Boahen, Y., & Dali, G. A. (2015)","Ethnobotanical study of wound healing plants in Kpando Traditional Area, Ghana","International Journal of Phytomedicine","6(4)","564-572",154
"504","Justicia flava","Justicia flava","Health care","treating malaria","Medicine: Malaria","Ashanti Region","Asase, A., & Asafo-Agyei, T. (2011)","Plants used for treatment of malaria in communities around the Bobiri forest reserve in Ghana","Journal of herbs, spices & medicinal plants ","17(2)","85-106",154
"505","Kalanchoe deficiens","Kalanchoe integra","Health care","treating breast cancer","Medicine: Cancer","Ashanti Region","Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana","Journal of ethnopharmacology","212","137-152",NA
"506","Khaya anthotheca","Khaya anthotheca","Health care","treating skin rashes","Medicine: Infectious diseases","Greater Accra Region","Asase, A., & Kadera, M. L. (2014)","Herbal medicines for child healthcare from Ghana","Journal of Herbal Medicine","4(1)","24-36",26
"507","Khaya anthotheca","Khaya anthotheca","Health care","treating skin fevers","Medicine: Fever","Greater Accra Region","Asase, A., & Kadera, M. L. (2014)","Herbal medicines for child healthcare from Ghana","Journal of Herbal Medicine","4(1)","24-36",26
"508","Khaya anthotheca","Khaya anthotheca","Health care","treating typhoid","Medicine: Fever","Greater Accra Region","Asase, A., & Kadera, M. L. (2014)","Herbal medicines for child healthcare from Ghana","Journal of Herbal Medicine","4(1)","24-36",26
"509","Khaya anthotheca","Khaya anthotheca","Health care","treating loss of appetite","Medicine: Fever","Greater Accra Region","Asase, A., & Kadera, M. L. (2014)","Herbal medicines for child healthcare from Ghana","Journal of Herbal Medicine","4(1)","24-36",26
"510","Khaya anthotheca","Khaya anthotheca","Health care","treating malaria","Medicine: Malaria","Greater Accra Region","Asase, A., & Kadera, M. L. (2014)","Herbal medicines for child healthcare from Ghana","Journal of Herbal Medicine","4(1)","24-36",26
"511","Khaya anthotheca","Khaya anthotheca","Health care","treating breast and prostate cancer","Medicine: Cancer","Ashanti Region","Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana","Journal of ethnopharmacology","212","137-152",26
"512","Khaya senegalensis","Khaya senegalensis","Health care","treating snake bites","Medicine: Edema","Upper West Region","Wodah, D., & Asase, A. (2012)","Ethnopharmacological use of plants by Sisala traditional healers in northwest Ghana","Pharmaceutical biology","50(7)","807-815",47
"513","Khaya senegalensis","Khaya senegalensis","Health care","treating anaemia","Medicine: Nutrient deficiencies","Upper West Region","Asase, A., & Oteng-Yeboah, A. A. (2012)","Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana","Ethnobotany Research and Applications","10","605-618",47
"514","Khaya senegalensis","Khaya senegalensis","Construction","used for roofing buildings","Building materials","Upper West Region","Asase, A., & Oteng-Yeboah, A. A. (2012)","Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana","Ethnobotany Research and Applications","10","605-618",47
"515","Khaya senegalensis","Khaya senegalensis","Social","used for carving drums","Artefacts","Upper West Region","Asase, A., & Oteng-Yeboah, A. A. (2012)","Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana","Ethnobotany Research and Applications","10","605-618",47
"516","Khaya senegalensis","Khaya senegalensis","Health care","treating male infertility","Medicine: Infertility","Greater Accra Region","Boadu, A. A., & Asase, A. (2017)","Documentation of herbal medicines used for the treatment and Management of Human Diseases by some communities in southern Ghana","Evidence-Based Complementary and Alternative Medicine","","2017",47
"517","Khaya senegalensis","Khaya senegalensis","Health care","treating malaria","Medicine: Malaria","Upper West Region","Asase, A., Oteng-Yeboah, A. A., Odamtten, G. T., & Simmonds, M. S. (2005)","Ethnobotanical study of some Ghanaian anti-malarial plants","Journal of Ethnopharmacology","99(2)","273-279",47
"518","Khaya senegalensis","Khaya senegalensis","Health care","treating breast, prostate and lung cancer","Medicine: Cancer","Ashanti Region","Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana","Journal of ethnopharmacology","212","137-152",47
"519","Khaya senegalensis","Khaya senegalensis","Health care","used as blood tonic","Medicine: Nutrient deficiencies","Greater Accra, Ashanti,Northern,Central, Eastern Regions","Van Andel, T., Myren, B., & Van Onselen, S. (2012)","Ghana's herbal market","Journal of Ethnopharmacology","140(2)","368-378",47
"520","Khaya senegalensis","Khaya senegalensis","Health care","used as aphrodisiac","Medicine: Infertility","Greater Accra, Ashanti,Northern,Central, Eastern Regions","Van Andel, T., Myren, B., & Van Onselen, S. (2012)","Ghana's herbal market","Journal of Ethnopharmacology","140(2)","368-378",47
"521","Khaya senegalensis","Khaya senegalensis","Health care","treating fever","Medicine: Fever","Greater Accra, Ashanti,Northern,Central, Eastern Regions","Van Andel, T., Myren, B., & Van Onselen, S. (2012)","Ghana's herbal market","Journal of Ethnopharmacology","140(2)","368-378",47
"522","Khaya senegalensis","Khaya senegalensis","Agriculture","protecting stored products","Post-harvest protectants","Northern, Upper East and Upper West Regions","Belmain, S., & Stevenson, P. (2001)","Ethnobotanicals in Ghana: reviving and modernising age-old farmer practice","Pesticide outlook","12(6)","233-238",47
"523","Khaya senegalensis","Khaya senegalensis","Health care","treating malaria","Medicine: Malaria","Ashanti Region","Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana","Journal of ethnopharmacology","172","333-346",47
"524","Khaya senegalensis","Khaya senegalensis","Agriculture","used as protectants of stored grains","Post-harvest protectant","Ashanti Region","Cobbinah, J. R., Moss, C., Golob, P., & Belmain, S. R. (1999)","Conducting ethnobotanical surveys: an example from Ghana on plants used for the protection of stored cereals and pulses","(NRI Bulletin 77)","","",47
"525","Kigelia africana","Kigelia africana","Health care","treating infertility","Medicine: Infertility","Brong-Ahafo Region","Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana","Journal of medicinal plants research","2(9)","226-233",42
"526","Kigelia africana","Kigelia africana","Health care","treating skin and prostate cancer","Medicine: Cancer","Ashanti Region","Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana","Journal of ethnopharmacology","212","137-152",42
"527","Kigelia africana","Kigelia africana","Health care","treating piles","Medicine: Gastrointestinal disorders","Greater Accra Region","Boadu, A. A., & Asase, A. (2017)","Documentation of herbal medicines used for the treatment and Management of Human Diseases by some communities in southern Ghana","Evidence-Based Complementary and Alternative Medicine","","2017",42
"528","Landolphia owariensis","Landolphia owariensis","Health care","treating malaria","Medicine: Malaria","Brong-Ahafo Region","Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana","Journal of medicinal plants research","2(9)","226-233",53
"529","Landolphia owariensis","Landolphia owariensis","Health care","treating gonorrhoea","Medicine: Infectious diseases","Brong-Ahafo Region","Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana","Journal of medicinal plants research","2(9)","226-233",53
"530","Landolphia owariensis","Landolphia owariensis","Health care","treating skin cancer","Medicine: Cancer","Ashanti Region","Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana","Journal of ethnopharmacology","212","137-152",53
"531","Lannea acida","Lannea acida","Food and nutrition","fruits are taken raw","Food","Upper West Region","Asase, A., & Oteng-Yeboah, A. A. (2012)","Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana","Ethnobotany Research and Applications","10","605-618",56
"532","Lannea acida","Lannea acida","Energy","used as fuel wood for cooking","Fuel","Upper West Region","Asase, A., & Oteng-Yeboah, A. A. (2012)","Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana","Ethnobotany Research and Applications","10","605-618",56
"533","Lannea acida","Lannea acida","Health care","treating malaria","Medicine: Malaria","Upper West Region","Asase, A., Oteng-Yeboah, A. A., Odamtten, G. T., & Simmonds, M. S. (2005)","Ethnobotanical study of some Ghanaian anti-malarial plants","Journal of Ethnopharmacology","99(2)","273-279",56
"534","Lannea barteri","Lannea kerstingii","Food and nutrition","fruits are taken raw","Food","Upper West Region","Asase, A., & Oteng-Yeboah, A. A. (2012)","Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana","Ethnobotany Research and Applications","10","605-618",29
"535","Lannea barteri","Lannea kerstingii","Energy","used as fuel wood for cooking","Fuel","Upper West Region","Asase, A., & Oteng-Yeboah, A. A. (2012)","Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana","Ethnobotany Research and Applications","10","605-618",29
"536","Lannea barteri","Lannea kerstingii","Social","used for carving stools","Artefacts","Upper West Region","Asase, A., & Oteng-Yeboah, A. A. (2012)","Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana","Ethnobotany Research and Applications","10","605-618",29
"537","Lantana camara","Lantana camara","Health care","treating malaria","Medicine: Malaria","Ashanti Region","Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana","Journal of ethnopharmacology","172","333-346",63
"538","Lantana camara","Lantana camara","Health care","treating malaria","Medicine: Malaria","Ashanti Region","Asase, A., & Asafo-Agyei, T. (2011)","Plants used for treatment of malaria in communities around the Bobiri forest reserve in Ghana","Journal of herbs, spices & medicinal plants ","17(2)","85-135",63
"539","Launaea taraxacifolia","Launaea taraxacifolia","Health care","used to control blood pressure","Medicine: Blood pressure","Greater Accra Region","Boadu, A. A., & Asase, A. (2017)","Documentation of herbal medicines used for the treatment and Management of Human Diseases by some communities in southern Ghana","Evidence-Based Complementary and Alternative Medicine","","2017",45
"540","Launaea taraxacifolia","Launaea taraxacifolia","Health care","treating diabetes mellitus","Medicine: Diabetes","Greater Accra Region","Asase, A., & Yohonu, D. T. (2016)","Ethnobotanical study of herbal medicines for management of diabetes mellitus in Dangme west district of Southern Ghana.","Journal of Herbal Medicine","6(4)","204-209",45
"541","Launaea taraxacifolia","Launaea taraxacifolia","Health care","treating malaria","Medicine: Malaria","Ashanti Region","Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana","Journal of ethnopharmacology","172","333-346",45
"542","Lecaniodiscus cupanioides","Lecaniodiscus cupanioides","Health care","treating miscarriage","Medicine: Maternal and Child care","Greater Accra Region","Boadu, A. A., & Asase, A. (2017)","Documentation of herbal medicines used for the treatment and Management of Human Diseases by some communities in southern Ghana","Evidence-Based Complementary and Alternative Medicine","","2017",81
"543","Lecaniodiscus cupanioides","Lecaniodiscus cupanioides","Health care","treating stomach ulcer","Medicine: Ulcer","Greater Accra Region","Boadu, A. A., & Asase, A. (2017)","Documentation of herbal medicines used for the treatment and Management of Human Diseases by some communities in southern Ghana","Evidence-Based Complementary and Alternative Medicine","","2017",81
"544","Leucas martinicensis","Leucas martinicensis","Health care","treating malaria","Medicine: Malaria","Upper West Region","Asase, A., Oteng-Yeboah, A. A., Odamtten, G. T., & Simmonds, M. S. (2005)","Ethnobotanical study of some Ghanaian anti-malarial plants","Journal of Ethnopharmacology","99(2)","273-279",39
"545","Leucas martinicensis","Leucas martinicensis","Health care","treating fever","Medicine: Fever","Upper West Region","Asase, A., & Oteng-Yeboah, A. A. (2012)","Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana","Ethnobotany Research and Applications","10","605-618",39
"546","Lippia multiflora","Lippia multiflora","Agriculture","protecting stored products","Post-harvest protectants","Northern, Upper East and Upper West Regions","Belmain, S., & Stevenson, P. (2001)","Ethnobotanicals in Ghana: reviving and modernising age-old farmer practice","Pesticide outlook","12(6)","233-238",79
"547","Ludwigia octovalvis","Ludwigia suffruticosa","Health care","treating convulsion","Medicine: Seizure","Upper West Region","Wodah, D., & Asase, A. (2012)","Ethnopharmacological use of plants by Sisala traditional healers in northwest Ghana","Pharmaceutical biology","50(7)","807-815",81
"548","Solanum lycopersicum","Lycopersicon esculentum","Health care","treating throat and lung cancer","Medicine: Cancer","Ashanti Region","Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana","Journal of ethnopharmacology","212","137-152",29
"549","Macaranga barteri","Macaranga barteri","Health care","treating foot rot","Medicine: Infectious diseases","Greater Accra Region","Boadu, A. A., & Asase, A. (2017)","Documentation of herbal medicines used for the treatment and Management of Human Diseases by some communities in southern Ghana","Evidence-Based Complementary and Alternative Medicine","","2017",69
"550","Pouteria alnifolia","Malacantha alnifolia","Health care","treating miscarriage","Medicine: Maternal and Child care","Greater Accra Region","Boadu, A. A., & Asase, A. (2017)","Documentation of herbal medicines used for the treatment and Management of Human Diseases by some communities in southern Ghana","Evidence-Based Complementary and Alternative Medicine","","2017",65
"551","Mallotus oppositifolius","Mallotus oppositifolius","Health care","treating genital skin, prostate, breast, throat cancer","Medicine: Cancer","Ashanti Region","Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana","Journal of ethnopharmacology","212","137-152",144
"552","Mallotus oppositifolius","Mallotus oppositifolius","Health care","treating wounds","Medicine: Wound healing","Volta Region","Barku, V. Y., Opoku-Boahen, Y., & Dali, G. A. (2015)","Ethnobotanical study of wound healing plants in Kpando Traditional Area, Ghana","International Journal of Phytomedicine","6(4)","564-572",144
"553","Mallotus oppositifolius","Mallotus oppositifolius","Health care","treating wounds","Medicine: Wound healing","Volta Region","Barku, V. Y., Opoku-Boahen, Y., & Dali, G. A. (2015)","Ethnobotanical study of wound healing plants in Kpando Traditional Area, Ghana","International Journal of Phytomedicine","6(4)","564-572",144
"554","Mammea africana","Mammea africana","Health care","treating cervical, breast, skin and throat cancer","Medicine: Cancer","Ashanti Region","Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana","Journal of ethnopharmacology","212","137-152",34
"555","Mangifera indica","Mangifera indica","Health care","treating stomach aches","Medicine: Somatic pains","Upper West Region","Asase, A., & Oteng-Yeboah, A. A. (2012)","Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana","Ethnobotany Research and Applications","10","605-618",8
"556","Mangifera indica","Mangifera indica","Health care","treating fever","Medicine: Fever","Upper West Region","Asase, A., & Oteng-Yeboah, A. A. (2012)","Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana","Ethnobotany Research and Applications","10","605-618",8
"557","Mangifera indica","Mangifera indica","Health care","treating malaria","Medicine: Malaria","Upper West Region","Asase, A., Oteng-Yeboah, A. A., Odamtten, G. T., & Simmonds, M. S. (2005)","Ethnobotanical study of some Ghanaian anti-malarial plants","Journal of Ethnopharmacology","99(2)","273-279",8
"558","Mangifera indica","Mangifera indica","Health care","treating diarrhoea","Medicine: Gastrointestinal disorders","Asanti Region","Appiah, K. S., Mardani, H. K., Osivand, A., Kpabitey, S., Amoatey, C. A., Oikawa, Y., & Fujii, Y. (2017)","Exploring Alternative Use of Medicinal Plants for Sustainable Weed Management","Sustainability","9(8)","1468",8
"559","Mangifera indica","Mangifera indica","Health care","treating fever","Medicine: Fever","Asanti Region","Appiah, K. S., Mardani, H. K., Osivand, A., Kpabitey, S., Amoatey, C. A., Oikawa, Y., & Fujii, Y. (2017)","Exploring Alternative Use of Medicinal Plants for Sustainable Weed Management","Sustainability","9(8)","1468",8
"560","Mangifera indica","Mangifera indica","Health care","treating coughs","Medicine: Inflammatory diseases","Asanti Region","Appiah, K. S., Mardani, H. K., Osivand, A., Kpabitey, S., Amoatey, C. A., Oikawa, Y., & Fujii, Y. (2017)","Exploring Alternative Use of Medicinal Plants for Sustainable Weed Management","Sustainability","9(8)","1468",8
"561","Mangifera indica","Mangifera indica","Health care","treating lungs, skin, prostate and throat cancer","Medicine: Cancer","Ashanti Region","Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana","Journal of ethnopharmacology","212","137-152",8
"562","Mangifera indica","Mangifera indica","Health care","treating diabetes mellitus","Medicine: Diabetes","Greater Accra Region","Asase, A., & Yohonu, D. T. (2016)","Ethnobotanical study of herbal medicines for management of diabetes mellitus in Dangme west district of Southern Ghana.","Journal of Herbal Medicine","6(4)","204-209",8
"563","Mangifera indica","Mangifera indica","Health care","treating malaria","Medicine: Malaria","Ashanti Region","Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana","Journal of ethnopharmacology","172","333-346",8
"564","Mangifera indica","Mangifera indica","Health care","treating malaria","Medicine: Malaria","Ashanti Region","Asase, A., & Asafo-Agyei, T. (2011)","Plants used for treatment of malaria in communities around the Bobiri forest reserve in Ghana","Journal of herbs, spices & medicinal plants ","17(2)","85-108",8
"565","Manihot esculenta","Manihot esculenta","Health care","treating cervical, skin and genital cancer","Medicine: Cancer","Ashanti Region","Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana","Journal of ethnopharmacology","212","137-152",853
"566","Manihot esculenta","Manihot esculenta","Health care","arresting bleeding","Medicine: Wound healing","Volta Region","Barku, V. Y., Opoku-Boahen, Y., & Dali, G. A. (2015)","Ethnobotanical study of wound healing plants in Kpando Traditional Area, Ghana","International Journal of Phytomedicine","6(4)","564-572",853
"567","Manihot esculenta","Manihot esculenta","Health care","treating malaria","Medicine: Malaria","Ashanti Region","Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana","Journal of ethnopharmacology","172","333-346",853
"568","None","Manihot utilissima","Health care","treating skin ulcer","Medicine: Ulcer","Brong-Ahafo Region","Henry, S. G., Francis, A., & Kofi, A. (2013)","Ethnobotanical survey of medicinal plants used for the treatment of diarrhoea and skin ulcer in the Brong Ahafo region of Ghana","Journal of Medicinal Plants Research","7(44)","3280-3285",NA
"569","None","Manihot utilissima","Health care","treating diarrhoea","Medicine: Gastrointestinal disorders","Brong-Ahafo Region","Henry, S. G., Francis, A., & Kofi, A. (2013)","Ethnobotanical survey of medicinal plants used for the treatment of diarrhoea and skin ulcer in the Brong Ahafo region of Ghana","Journal of Medicinal Plants Research","7(44)","3280-3285",NA
"570","Mansonia altissima","Mansonia altissima","Health care","treating breast and skin cancer","Medicine: Cancer","Ashanti Region","Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana","Journal of ethnopharmacology","212","137-152",62
"571","Mansonia altissima","Mansonia altissima","Health care","treating body pains","Medicine: Somatic pains","Brong-Ahafo Region","Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana","Journal of medicinal plants research","2(9)","226-233",62
"572","Maranthes robusta","Maranthes robusta","Health care","treating rheumatism","Medicine: Somatic pains","Greater Accra Region","Boadu, A. A., & Asase, A. (2017)","Documentation of herbal medicines used for the treatment and Management of Human Diseases by some communities in southern Ghana","Evidence-Based Complementary and Alternative Medicine","","2017",22
"573","Marantochloa leucantha","Marantochloa leucantha","Health care","treating boils","Medicine: Infectious diseases","Brong-Ahafo Region","Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana","Journal of medicinal plants research","2(9)","226-233",59
